#Frequency	Median Mag	Phase (Rad)	-1 Sigma Mag	-1 Sigma Phase	+1 Sigma Mag	+1 Sigma Phase
1.283567800000000034e+03	1.006814899999999957e+00	2.194263000000000116e-02	9.859127899999999833e-01	1.611914600000000086e-03	1.027804699999999904e+00	4.140053099999999736e-02
1.355317000000000007e+03	1.007319899999999935e+00	2.273850900000000050e-02	9.851017399999999480e-01	1.029348999999999932e-03	1.029844200000000098e+00	4.365548000000000345e-02
1.431076700000000073e+03	1.007807200000000014e+00	2.349522199999999963e-02	9.842716099999999635e-01	1.133516499999999975e-04	1.031643000000000088e+00	4.597907600000000067e-02
1.511071300000000065e+03	1.008338900000000038e+00	2.413875600000000080e-02	9.831939299999999937e-01	-8.416087800000000103e-04	1.033838599999999941e+00	4.827676200000000084e-02
1.595537499999999909e+03	1.008888699999999972e+00	2.491818700000000136e-02	9.823491600000000545e-01	-1.840029900000000060e-03	1.036084699999999970e+00	5.057132599999999978e-02
1.684725200000000086e+03	1.009478799999999898e+00	2.565635700000000116e-02	9.811743200000000442e-01	-2.831394799999999937e-03	1.038357699999999939e+00	5.289046399999999815e-02
1.778898200000000088e+03	1.010105199999999925e+00	2.627042300000000108e-02	9.799395699999999820e-01	-3.947620899999999648e-03	1.040918900000000091e+00	5.545648000000000244e-02
1.878335399999999936e+03	1.010678399999999977e+00	2.711413899999999891e-02	9.787247199999999925e-01	-5.244392199999999699e-03	1.043635400000000102e+00	5.819440199999999924e-02
1.983330999999999904e+03	1.011328400000000016e+00	2.781791600000000156e-02	9.773981899999999445e-01	-6.491483400000000285e-03	1.046485799999999911e+00	6.094025000000000136e-02
2.094195600000000013e+03	1.011937899999999946e+00	2.861177300000000007e-02	9.760189500000000518e-01	-7.837709300000000531e-03	1.049163899999999927e+00	6.399407299999999854e-02
2.211257399999999961e+03	1.012599699999999991e+00	2.944728200000000171e-02	9.746494100000000493e-01	-9.192264000000000337e-03	1.051950299999999894e+00	6.717227800000000193e-02
2.334862700000000132e+03	1.013360000000000039e+00	3.018057099999999979e-02	9.733317000000000219e-01	-1.068294300000000030e-02	1.055376599999999998e+00	7.027891099999999946e-02
2.465377300000000105e+03	1.014166700000000088e+00	3.090536199999999872e-02	9.718305000000000415e-01	-1.221649900000000045e-02	1.058723899999999940e+00	7.338144100000000558e-02
2.603187399999999798e+03	1.014975600000000089e+00	3.167825700000000133e-02	9.704039199999999754e-01	-1.366758799999999961e-02	1.062011599999999945e+00	7.663145600000000057e-02
2.748700899999999820e+03	1.015740000000000087e+00	3.249095800000000034e-02	9.689656399999999614e-01	-1.523852900000000066e-02	1.065474299999999985e+00	7.983429599999999904e-02
2.902348300000000108e+03	1.016518699999999997e+00	3.319955200000000023e-02	9.675312000000000356e-01	-1.694446000000000147e-02	1.069083900000000087e+00	8.303204899999999666e-02
3.064584299999999985e+03	1.017257899999999937e+00	3.399267799999999839e-02	9.662220999999999727e-01	-1.857494000000000159e-02	1.072810800000000064e+00	8.649486200000000569e-02
3.235889099999999871e+03	1.018155600000000049e+00	3.462805299999999892e-02	9.644993699999999670e-01	-2.032944999999999891e-02	1.076593700000000098e+00	8.981410200000000676e-02
3.416769400000000132e+03	1.018947599999999953e+00	3.554189800000000232e-02	9.628718600000000238e-01	-2.211071100000000164e-02	1.080614600000000092e+00	9.332316000000000222e-02
3.607760699999999815e+03	1.019865400000000033e+00	3.630741800000000102e-02	9.611607199999999684e-01	-2.426066400000000123e-02	1.084465400000000024e+00	9.702610700000000032e-02
3.809427999999999884e+03	1.020673500000000011e+00	3.694858599999999854e-02	9.592343100000000344e-01	-2.635163100000000036e-02	1.088360400000000006e+00	1.006043199999999971e-01
4.022368100000000140e+03	1.021527800000000097e+00	3.770498399999999695e-02	9.576194099999999487e-01	-2.843548400000000045e-02	1.092340599999999995e+00	1.043429500000000038e-01
4.247211199999999735e+03	1.022285499999999958e+00	3.850331500000000323e-02	9.558111200000000141e-01	-3.044233099999999956e-02	1.096537600000000001e+00	1.082036999999999999e-01
4.484622699999999895e+03	1.023083500000000035e+00	3.912786900000000262e-02	9.539458400000000449e-01	-3.258060499999999859e-02	1.101192200000000065e+00	1.121838000000000002e-01
4.735305000000000291e+03	1.024044799999999977e+00	3.996146600000000104e-02	9.520430500000000018e-01	-3.496411099999999911e-02	1.106115299999999912e+00	1.159763199999999939e-01
5.000000000000000000e+03	1.024822300000000075e+00	4.044244699999999942e-02	9.502683800000000236e-01	-3.758028199999999958e-02	1.110940000000000039e+00	1.200337600000000032e-01
